Year,State,Yes,No,Category,Condition,Location 1
2010,"Nationwide (States, DC, and Territories)",85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2010,Nationwide (States and DC),85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2010,Guam,77.80%,22.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2010,Puerto Rico,92.10%,7.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2010,Virgin Islands,69.40%,30.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2009,"Nationwide (States, DC, and Territories)",85.30%,14.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2009,Nationwide (States and DC),85.60%,14.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2009,Guam,79.70%,20.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2009,Puerto Rico,91.60%,8.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2009,Virgin Islands,71.40%,28.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2008,"Nationwide (States, DC, and Territories)",85.40%,14.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2008,Nationwide (States and DC),85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2008,Guam,74.70%,25.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2008,Puerto Rico,91.70%,8.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2008,Virgin Islands,72.40%,27.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2007,"Nationwide (States, DC, and Territories)",85.60%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2007,Nationwide (States and DC),85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2007,Guam,81.90%,18.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2007,Puerto Rico,91.10%,8.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2007,Virgin Islands,71.30%,28.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2006,"Nationwide (States, DC, and Territories)",85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2006,Nationwide (States and DC),85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2006,Puerto Rico,92.40%,7.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2006,Virgin Islands,70.20%,29.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2005,"Nationwide (States, DC, and Territories)",85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2005,Nationwide (States and DC),85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2005,Puerto Rico,93%,7%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2005,Virgin Islands,69.90%,30.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2004,"Nationwide (States, DC, and Territories)",85.10%,14.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2004,Nationwide (States and DC),85.10%,14.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2004,Puerto Rico,92.10%,7.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
2004,Virgin Islands,70.20%,29.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virgin Islands
"
2003,"Nationwide (States, DC, and Territories)",85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States, DC, and Territories)
"
2003,Nationwide (States and DC),85.60%,14.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nationwide (States and DC)
"
2003,Guam,79.10%,20.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Guam
"
2003,Puerto Rico,91.20%,8.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Puerto Rico
"
